Name,Selling_Price,Original_Price,Display,Size,Screen_resolution,OS,Launch_Year,Ratings
Sony,59840.0,79900.0,Ultra Hd (4K),50,3840x2160,Google,2024,4.3
Lg,236199.0,439990.0,Ultra Hd (4K),75,3840x2160,Webos,2023,3.0
Lg,80999.0,103900.0,Full Hd Led,55,1080x1920,Webos,2016,4.1
Toshiba,59999.0,114999.0,Ultra Hd (4K),65,3840x2160,Vidaa,2023,4.3
Sony,71699.0,109900.0,Ultra Hd (4K),55,3840x2160,Google,2021,4.7
Tcl,50990.0,124990.0,Ultra Hd (4K),65,3840x2160,Google,2024,4.1
Toshiba,54999.0,89999.0,Qled Ultra Hd (4K),65,3840x2160,Vidaa,2024,4.3
Tcl,59990.0,166990.0,Qled Ultra Hd (4K),65,3840x2160,Google,2023,4.2
Samsung,36990.0,49990.0,Ultra Hd (4K),43,3840x2160,Tizen,2021,4.3
Hisense,22999.0,34990.0,Full Hd Led,43,1080x1920,Android,2022,4.2
Sansui,33599.0,53290.0,Ultra Hd (4K),55,3840x2160,Android,2020,4.3
Tcl,69990.0,169990.0,Ultra Hd (4K),55,3840x2160,Google,2024,4.2
Thomson,22999.0,42999.0,Ultra Hd (4K),50,3840x2160,Android,2021,4.3
Hisense,74999.0,109999.0,Qled Ultra Hd (4K),55,3840x2160,Vidaa,2024,4.3
Thomson,28599.0,37999.0,Ultra Hd (4K),43,3840x2160,Android,2020,4.5
Hisense,24999.0,44999.0,Ultra Hd (4K),43,3840x2160,Google,2023,4.3
Thomson,79999.0,149999.0,Qled Ultra Hd (4K),75,3840x2160,Google,2024,4.5
Samsung,47990.0,70990.0,Ultra Hd (4K),55,3840x2160,Tizen,2022,3.8
Iffalcon,45999.0,120990.0,Ultra Hd (4K),65,3840x2160,Google,2024,4.2
Lg,272199.0,324990.0,Ultra Hd (4K),55,3840x2160,Webos,2017,4.6
Samsung,583399.0,799900.0,Qled Ultra Hd (4K),85,3840x2160,Tizen,2023,4.5
Hisense,52699.0,79990.0,Qled Ultra Hd (4K),55,3840x2160,Vidaa,2022,4.3
Hisense,57999.0,109999.0,Qled Ultra Hd (4K),65,3840x2160,Google,2023,4.2
Hisense,51499.0,79999.0,Ultra Hd (4K),65,3840x2160,Google,2024,4.3
Haier,30699.0,52990.0,Ultra Hd (4K),43,3840x2160,Google,2023,4.2
Sansui,31999.0,51990.0,Ultra Hd (4K),50,3840x2160,Google,2023,4.2
Thomson,48299.0,70499.0,Ultra Hd (4K),65,3840x2160,Android,2020,4.5
Iffalcon,48999.0,164990.0,Qled Ultra Hd (4K),65,3840x2160,Google,2023,4.2
Kodak,85199.0,149999.0,Ultra Hd (4K),75,3840x2160,Android,2021,4.5
Kodak,48299.0,69999.0,Ultra Hd (4K),65,3840x2160,Android,2020,4.5
Candy,29990.0,39990.0,Ultra Hd (4K),50,3840x2160,Google,2023,4.5
Samsung,43599.0,68400.0,Ultra Hd (4K),50,3840x2160,Tizen,2021,4.4
Haier,37299.0,60990.0,Ultra Hd (4K),50,3840x2160,Google,2023,4.2
Hisense,94099.0,119990.0,Ultra Hd (4K),75,3840x2160,Google,2022,4.3
Samsung,146990.0,304900.0,Qled Ultra Hd (4K),65,3840x2160,Tizen,2022,4.3
Hisense,94999.0,149999.0,Ultra Hd (4K),75,3840x2160,Google,2023,4.3
Lg,152199.0,224990.0,Ultra Hd (4K),65,3840x2160,Webos,2022,4.4
Tcl,24990.0,54990.0,Ultra Hd (4K),43,3840x2160,Google,2022,4.1
Lg,56899.0,99990.0,Ultra Hd (4K),49,3840x2160,Webos,2020,4.6
Hisense,30999.0,54990.0,Ultra Hd (4K),50,3840x2160,Google,2022,4.3
Lg,62099.0,103990.0,Full Hd Led,55,1080x1920,Webos,2017,4.2
Acer,50999.0,78990.0,Ultra Hd (4K),65,3840x2160,Google,2023,4.0
Acer,74999.0,149990.0,Ultra Hd (4K),75,3840x2160,Google,2023,4.1
Haier,57990.0,80990.0,Ultra Hd (4K),65,3840x2160,Google,2023,4.0
Toshiba,39999.0,79990.0,Qled Ultra Hd (4K),55,3840x2160,Google,2022,4.3
Samsung,68099.0,89850.0,Ultra Hd (4K),43,3840x2160,Tizen,2018,4.1
Sony,39990.0,69900.0,Ultra Hd (4K),43,3840x2160,Google,2022,4.6
Thomson,19999.0,39999.0,Ultra Hd (4K),43,3840x2160,Android,2021,4.5
Blaupunkt,14499.0,18999.0,Full Hd Led,40,1080x1920,Linux,2022,4.2
Coocaa,19999.0,59999.0,Ultra Hd (4K),43,3840x2160,Google,2022,4.3
Sony,229990.0,349900.0,Ultra Hd (4K),65,3840x2160,Google,2023,4.9
Sansui,72990.0,96900.0,Ultra Hd (4K),70,3840x2160,Google,2023,4.2
Dyanora,16999.0,32999.0,Full Hd Led,43,1080x1920,Android,2024,4.1
Mi,40999.0,59999.0,Ultra Hd (4K),50,3840x2160,Google,2023,4.3
Onida,35099.0,68990.0,Ultra Hd (4K),55,3840x2160,Vidaa,2022,4.4
Toshiba,56999.0,114990.0,Qled Ultra Hd (4K),65,3840x2160,Google,2022,4.3
Kodak,14399.0,20999.0,Full Hd Led,40,1080x1920,Android,2020,4.4
