Name,Selling_Price,Original_Price,Display,Size,Screen_resolution,OS,Launch_Year,Ratings
Lg,93990.0,164990.0,Ultra Hd (4K),70,3840x2160,Webos,2022,4.3
Haier,39990.0,60990.0,Qled Ultra Hd (4K),43,3840x2160,Google,2024,4.3
Samsung,119990.0,211900.0,Qled Ultra Hd (4K),55,3840x2160,Tizen,2021,4.6
Lg,59990.0,71990.0,Ultra Hd (4K),55,3840x2160,Webos,2022,4.0
Lg,84990.0,129990.0,Ultra Hd (4K),65,3840x2160,Webos,2022,4.3
Lg,119990.0,279990.0,Ultra Hd (4K),75,3840x2160,Webos,2021,4.3
Lg,139990.0,254990.0,Ultra Hd (4K),65,3840x2160,Webos,2020,3.3
Samsung,133990.0,239900.0,Ultra Hd (4K),75,3840x2160,Tizen,2022,4.3
Samsung,178999.0,219900.0,Qled Ultra Hd (4K),65,3840x2160,Tizen,2019,4.3
Bpl,47999.0,99900.0,Qled Ultra Hd (4K),55,3840x2160,Google,2023,4.3
Tcl,49999.0,119990.0,Ultra Hd (4K),65,3840x2160,Android,2021,4.4
Samsung,47990.0,82400.0,Qled Ultra Hd (4K),43,3840x2160,Tizen,2021,5.0
Samsung,179990.0,299900.0,Qled Ultra Hd (4K),65,3840x2160,Tizen,2022,4.3
Lg,125990.0,204990.0,Ultra Hd (4K),55,3840x2160,Webos,2019,4.5
Sony,249990.0,379900.0,Ultra Hd (4K),75,3840x2160,Android,2022,4.3
Lloyd,89890.0,89990.0,Ultra Hd (4K),55,3840x2160,Android,2021,4.5
Lg,102060.0,219990.0,Ultra Hd (4K),65,3840x2160,Webos,2018,5.0
Lg,47776.0,71990.0,Ultra Hd (4K),55,3840x2160,Webos,2021,3.0
Lg,37092.0,59490.0,Ultra Hd (4K),43,3840x2160,Webos,2021,4.2
Lg,47990.0,72990.0,Ultra Hd (4K),50,3840x2160,Webos,2022,4.8
Samsung,114990.0,145900.0,Ultra Hd (4K),65,3840x2160,Tizen,2021,4.3
Lg,94990.0,189990.0,Ultra Hd (4K),48,3840x2160,Webos,2021,3.3
Lloyd,47999.0,69999.0,Qled Ultra Hd (4K),55,3840x2160,Android,2022,4.3
Skylive,13584.0,25799.0,Full Hd Led,4040,1080x1920,Android,2024,4.3
Skylive,14629.0,27799.0,Full Hd Led,4040,1080x1920,Android,2024,4.3
Lg,70200.0,79990.0,Ultra Hd (4K),55,3840x2160,Webos,2019,4.0
Lg,50990.0,67990.0,Ultra Hd (4K),50,840x2,Webos,2023,4.3
Lg,169990.0,379990.0,Ultra Hd (4K),65,3840x2160,Webos,2020,4.2
Lg,179990.0,319990.0,Ultra Hd (4K),65,3840x2160,Webos,2022,4.3
Lg,144990.0,269990.0,Ultra Hd (4K),55,3840x2160,Webos,2021,4.3
Skylive,17574.0,32999.0,Full Hd Led,4040,1080x1920,Webos,2024,4.3
Sony,44990.0,64990.0,Full Hd Led,43,1080x1920,Google,2022,4.5
Sony,94990.0,179900.0,Ultra Hd (4K),65,3840x2160,Google,2021,4.7
Lg,94891.0,154990.0,Ultra Hd (4K),48,3840x2160,Webos,2022,3.3
Tcl,46990.0,119990.0,Qled Ultra Hd (4K),55,3840x2160,Google,2022,4.1
Lloyd,105999.0,199999.0,Qled Ultra Hd (4K),75,3840x2160,Google,2022,4.3
Tcl,58999.0,119900.0,Ultra Hd (4K),65,3840x2160,Android,2021,2.0
Samsung,134990.0,254900.0,Ultra Hd (4K),75,3840x2160,Tizen,2021,4.3
Sony,66490.0,99900.0,Ultra Hd (4K),55,3840x2160,Google,2024,4.3
Lg,69990.0,119990.0,Ultra Hd (4K),65,3840x2160,Webos,2021,4.4
Lg,149999.0,214990.0,Ultra Hd (4K),55,3840x2160,Webos,2018,4.5
Sony,446490.0,699900.0,Ultra Hd (4K),77,3840x2160,Google,2023,4.9
Lg,87990.0,139990.0,Ultra Hd (4K),42,3840x2160,Webos,2022,4.0
Lg,169990.0,234990.0,Ultra Hd (4K),65,3840x2160,Webos,2022,3.6
Sony,156900.0,249900.0,Ultra Hd (4K),55,3840x2160,Google,2022,4.8
Sony,57990.0,99990.0,Ultra Hd (4K),55,3840x2160,Google,2022,4.3
